"","actbillscc1","actbillscc10","actbillscc11","actbillscc2","actbillscc3","actbillscc4","actbillscc5","actbillscc6","actbillscc7","actbillscc8","actbillscc9","age","age_grp","billscc","brrise","desavebcs1","desavebcs2","desavebcs3","desavebcs4","desavebcs5","desavebcs6","dfihhyr","dfihhyrchg","fihhyr2","fisc_impact1","fisc_impact2","fisc_impact3","fisc_impact4","fisc_impact5","fisc_impact6","fisc_impact7","fisc_impact8","fisc_likact1","fisc_likact2","fisc_likact3","fisc_likact4","fisc_likact5","fisc_likact6","fisc11_act1","fisc11_act2","fisc11_act3","fisc11_act4","fisc11_act5","fisc11_act6","fisc11_conc1","fisc11_conc2","fisc11_conc3","fisc11_conc4","fisc11_conc5","fisc11_conc6","fisc11_conc7","fisc11_conc8","forebeareffsec","forebeareffunsec","forebearsec1","forebearsec2","forebearsec3","forebearsec4","forebearsec5","forebearsec6","forebearsec7","forebearsec8","forebearunsec1","forebearunsec2","forebearunsec3","forebearunsec4","forebearunsec5","hscntcr1","hscntcr2","hscrchg","hsval","huresp","intmg","jbstat","mastat","mg1tot","nvesttot","pubsecty","region","saveamount","savebcs1","savebcs10","savebcs11","savebcs12","savebcs13","savebcs2","savebcs3","savebcs4","savebcs5","savebcs6","savebcs7","savebcs8","savebcs9","savingch","sex","soc","subsid","tenure","uncert","uncertch","us","usa","usb","usc","usd","use","usg","ush","usi","usj","ustot","weight","xphpdf","xphsdf","xpmg","xpus"
"462","no","no","yes","no","no","no","no","yes","yes","no","no",30,"25 - 34","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,"<=199","no change","£17,500-£24,999","no","no","no","yes","no","no","no","no","yes","no","yes","yes","no","no","yes","no","yes","no","no","no","no","yes","no","yes","yes","no","no","no","Dont know",NA,"no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","don't know","£100,000-£124,999","yes","fixed","in paid employ","never married","£110,000-£129,999","£3,000 - £3,999","yes","East Midlands","£50-£99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Female","B",21279358,"Owned mortgage","vague idea","less certain","yes","no","no","no","no","no","no","no","yes","no","£15,000-£19,999",1.08002685,"somewhat","yes","£550-£599","£40-£49"
"463","no","no","no","no","no","no","no","no","no","no","yes",63,"55 - 64","keeping up, struggle from time to time",NA,"no","yes","no","no","no","no","£500-£599","down >£100","£30,000-£39,999","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,"no","no","yes","yes","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable",NA,"yes","not applicable","in paid employ","marrried or couple","not applicable","£30,000 - £34,999","no","South East","150-£199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Decrease by £100-£149 a month","Female","C1",21282473,"Owned outright","vague idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",0.829686088,"not applicable","no","not applicable","not applicable"
"464","no","no","no","no","no","no","no","yes","no","no","no",53,"45 - 54","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"£200-£299","down £50-£100","£7,500-£9,499","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,"no","no","yes","no","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","don't know",NA,"yes","not applicable","retired","never married","not applicable","£20,000 - £24,999","no","South East","£25-£49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Male","B",21299511,"Owned outright","vague idea","less certain","no","no","no","no","no","no","no","no","no","no","not applicable",1.19141031,"not applicable","no","not applicable","not applicable"
"465","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",67,"65+","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"don't know","don't know","£25,000-£29,999","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable",NA,"yes","not applicable","retired","marrried or couple","not applicable","don't know","no","South East","don't know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Female","C1",21300904,"Owned outright","good idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",0.893550954,"not applicable","no","not applicable","not applicable"
"466","no","no","no","no","no","no","no","no","yes","no","no",71,"65+","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,"refused","down <£50","refused","no","no","yes","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","don't know","refused","don't know",NA,"yes","not applicable","self employed","marrried or couple","not applicable","don't know","no","Yorkshire & Humberside","<=25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"refused","Female","C1",21303880,"Owned outright","no idea","less certain","yes","no","no","yes","no","no","no","no","no","yes","£200-£499",0.898494366,"heavy","no","not applicable","£180-£199"
"467","no","no","no","no","no","no","no","no","no","no","yes",31,"25 - 34","keeping up, struggle from time to time",NA,"yes","no","no","no","no","no","<=199","down £50-£100","£30,000-£39,999","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no",NA,"I would be behind on my loan payments",NA,NA,NA,NA,NA,NA,NA,NA,"yes","no","no","no","no","yes","no","harder","not applicable","not applicable","not applicable","in paid employ","marrried or couple","not applicable","£500-£999","yes","West Midlands","£50-£99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Decrease by £100-£149 a month","Female","C1",21304247,"Private rented","good idea","less certain","yes","no","yes","yes","no","no","no","yes","no","no","£7,500-£7,999",1.00360736,"somewhat","no","not applicable","£200-£219"
"468","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",46,"45 - 54","keeping up without much difficulty","£600-699",NA,NA,NA,NA,NA,NA,"£300-£399","down £50-£100","£50,000-£74,999","no","no","no","no","yes","no","no","no",NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","no",NA,NA,"no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","not applicable","£225,000-£249,999","yes","standard variable rate (SVR)","something else","marrried or couple","£90,000-£99,999","£10,000 - £12,499","no","West Midlands","don't know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Female","B",21304354,"Owned mortgage","vague idea","don't know","yes","no","no","yes","no","no","no","no","no","no","don't know",1.14430938,"no","no","<£100","don't know"
"469","no","no","no","no","no","no","no","no","no","no","yes",37,"35 - 44","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"£300-£399","no change","£13,500-£15,499","no","no","yes","no","no","no","no","no",NA,NA,NA,NA,NA,NA,"no","no","yes","no","no","no","no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","harder","not applicable","not applicable","not applicable","in paid employ","marrried or couple","not applicable","<£500","yes","East Midlands","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Female","D",21304879,"Private rented","good idea","less certain","yes","no","yes","no","no","no","no","no","no","no","£500-£999",1.04619278,"somewhat","no","not applicable","£30-£39"
"470","yes","no","no","no","yes","no","no","no","no","no","no",31,"25 - 34","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,"<=199","down >£100","£13,500-£15,499","no","yes","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","yes","yes","no","no","no","no","no","no","I would be up to date with my mortgage payments, but it would be a struggle","I would be up to date with my loan payments, but it would be a struggle","no","no","no","yes","no","no","no","no","no","no","yes","no","no","yes","yes","harder","<£49,000","yes","capped","something else","marrried or couple","£20,000-£29,999","<£500","no","Wales","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Female","D",21307491,"Owned mortgage","good idea","less certain","yes","no","no","yes","no","no","no","yes","no","no","£2,500-£2,999",0.910653211,"heavy","yes","£100-£149","£30-£39"
"471","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",69,"65+","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£700-£799","no change","£17,500-£24,999","no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable",NA,"yes","not applicable","retired","widowed/divorced/separated","not applicable","£10,000 - £12,499","no","Scotland","£400-£449",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","C1",21311356,"Owned outright","good idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",1.06429478,"not applicable","no","not applicable","not applicable"
"472","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",61,"55 - 64","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£2,000-£2,999","no change","£75,000-£99,999","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","easier",NA,"yes","not applicable","retired","marrried or couple","not applicable",">=£150,000","no","South West","£400-£449",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","A",21311624,"Owned outright","good idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",1.06217851,"not applicable","no","not applicable","not applicable"
"473","no","no","no","no","no","no","no","yes","yes","no","no",69,"65+","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"£300-£399","no change","£17,500-£24,999","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes",NA,NA,NA,NA,NA,NA,"no","no","yes","no","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","the same",NA,"yes","not applicable","retired","marrried or couple","not applicable","£12,500 - £14,999","no","West Midlands","£25-£49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Female","D",21315350,"Owned outright","vague idea","no change","yes","no","no","yes","no","no","no","no","no","yes","£200-£499",0.914778321,"somewhat","no","not applicable","£20-£29"
"474","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",63,"55 - 64","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£1,400-£1,599","down £50-£100","£30,000-£39,999","no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable",NA,"yes","not applicable","self employed","widowed/divorced/separated","not applicable","£20,000 - £24,999","don't know","Greater London","£25-£49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Male","B",21323173,"Owned outright","don't know","no change","no","no","no","no","no","no","no","no","no","no","not applicable",1.23187766,"not applicable","don't know","not applicable","not applicable"
"475","no","no","no","no","no","no","no","yes","no","no","no",28,"25 - 34","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,"<=199","down >£100","£17,500-£24,999","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,"no","yes","no","yes","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","yes","the same","not applicable","not applicable","not applicable","in paid employ","never married","not applicable","refused","no","East Anglia","£50-£99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Female","C1",21329084,"Private rented","good idea","less certain","yes","no","no","yes","no","no","no","no","yes","no","<£200",0.860100304,"no","no","not applicable","£100-£119"
"476","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",74,"65+","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"<=199","down <£50","£25,000-£29,999","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable",NA,"yes","not applicable","retired","marrried or couple","not applicable","£100,000 - £149,999","no","South East","£100-£149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","A",21335810,"Owned outright","vague idea","less certain","no","no","no","no","no","no","no","no","no","no","not applicable",1.22375031,"not applicable","no","not applicable","not applicable"
"477","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",36,"35 - 44","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£1,000-£1,199","no change","£40,000-£49,999","no","no","no","no","no","yes","no","no","yes","no","yes","no","no","no",NA,NA,NA,NA,NA,NA,"no","yes","no","no","no","no","no","no",NA,NA,"no","no","no","no","no","no","no","yes",NA,NA,NA,NA,NA,"no","no","not applicable","£175,000-£199,999","yes","fixed","in paid employ","marrried or couple","£90,000-£99,999","£35,000 - £39,999","no","South East","£200-£249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Female","C2",21337744,"Owned mortgage","vague idea","less certain","no","no","no","no","no","no","no","no","no","no","not applicable",0.939100015,"not applicable","no","£500-£549","not applicable"
"478","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",72,"65+","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£500-£599","no change","£17,500-£24,999","no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable",NA,"yes","not applicable","in paid employ","marrried or couple","not applicable","£50,000 - £74,999","no","Scotland","£350-£399",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","C2",21345319,"Owned outright","good idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",1.15174414,"not applicable","no","not applicable","not applicable"
"479","no","yes","no","no","no","no","no","yes","yes","no","no",47,"45 - 54","keeping up, constant struggle","£0-49",NA,NA,NA,NA,NA,NA,"<=199","down £50-£100","£17,500-£24,999","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,"no","no","yes","no","yes","no","no","no",NA,NA,"no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","don't know","£100,000-£124,999","yes","base rate tracker","in paid employ","never married","£70,000-£79,999","£1,000 - £1,999","no","Scotland","£50-£99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Female","C1",21346806,"Owned mortgage","good idea","no change","yes","yes","yes","no","no","no","no","no","no","no","£10,000-£14,999",0.97959751,"somewhat","no","£450-£499","£240-£259"
"480","no","no","no","no","no","no","no","no","no","no","yes",72,"65+","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"£500-£599","down £50-£100","£17,500-£24,999","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","not applicable",NA,"yes","not applicable","retired","marrried or couple","not applicable","£2,000 - £2,999","no","West Midlands","£100-£149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","C2",21350461,"Owned outright","good idea","no change","yes","no","yes","no","no","no","no","yes","no","no","£1,500-£1,999",1.10283411,"no","no","not applicable","£120-£139"
"481","no","no","no","yes","no","no","no","no","no","no","no",21,"18 - 24","keeping up, constant struggle",NA,"no","no","no","yes","no","no","£900-£999","down <£50","£15,500-£17,499","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","no","yes","no","I would be up to date with my mortgage payments, without much struggle.","I would be behind on my loan payments","no","no","no","no","no","yes","no","no","yes","no","no","no","no","don't know","don't know","don't know","£100,000-£124,999","yes","capped","in paid employ","never married","£50,000-£59,999","£1,000 - £1,999","don't know","North West","150-£199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Decrease by £200-£299 a month","Female","C2",21352024,"Owned mortgage","don't know","don't know","yes","no","yes","no","no","no","no","no","no","no","£200-£499",0.85434926,"somewhat","yes","£200-£249","£40-£49"
"482","no","no","no","no","no","no","no","no","no","no","yes",75,"65+","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"<=199","down £50-£100","£40,000-£49,999","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable","not applicable","no","not applicable","retired","marrried or couple","not applicable","refused","no","South East","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"refused","Female","C2",21353804,"Owned outright","good idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",0.930865392,"not applicable","no","not applicable","not applicable"
"483","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",51,"45 - 54","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£900-£999","down £50-£100","£30,000-£39,999","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no",NA,NA,NA,NA,NA,NA,"no","no","yes","yes","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","not applicable","not applicable","not applicable","not applicable","in paid employ","never married","not applicable","£50,000 - £74,999","yes","West Midlands","£200-£249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","C1",21359388,"Local authority rented","vague idea","no change","yes","no","no","yes","no","no","no","no","no","no","<£200",1.18448075,"no","no","not applicable","don't know"
"484","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",27,"25 - 34","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£800-£899","down >£100","£50,000-£74,999","no","no","no","no","yes","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","yes","yes","no","yes","no","no","no",NA,"I would be up to date with my loan payments, without much struggle.",NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","no","no","no","no","no","not applicable","not applicable","not applicable","not applicable","in paid employ","marrried or couple","not applicable","None","no","West Midlands","none","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","Increase by £300 or more a month","Male","C1",21360858,"Private rented","good idea","no change","yes","no","no","yes","no","no","no","yes","yes","yes","£4,000-£4,499",1.12666739,"heavy","no","not applicable","£50-£59"
"485","no","no","no","no","no","no","no","yes","no","no","no",71,"65+","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"£200-£299","down <£50","£17,500-£24,999","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,"no","no","no","yes","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","not applicable",NA,"yes","not applicable","retired","widowed/divorced/separated","not applicable","refused","no","Yorkshire & Humberside","£300-£349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","E",21360972,"Owned outright","vague idea","no change","yes","no","no","yes","no","no","no","no","no","no","<£200",0.853153039,"no","no","not applicable",">=£500"
"486","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",77,"65+","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"refused","down £50-£100","refused","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable",NA,"yes","not applicable","retired","marrried or couple","not applicable","refused","no","South East","refused",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Female","B",21361613,"Owned outright","vague idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",1.09008642,"not applicable","no","not applicable","not applicable"
"487","no","no","no","no","no","no","no","no","yes","no","no",54,"45 - 54","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"£500-£599","down £50-£100","£30,000-£39,999","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no",NA,NA,"no","no","no","no","no","no","no","yes","no","no","no","no","yes","yes","no","harder","£150,000-£174,999","yes","fixed","in paid employ","marrried or couple","£60,000-£69,999","£9,000 - £9,999","no","South East","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Male","E",21363393,"Owned mortgage","vague idea","less certain","yes","no","no","yes","no","no","no","yes","no","no","<£200",0.910699394,"no","no","£300-£349","<£10"
"488","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",56,"55 - 64","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£400-£499","down >£100","£11,500-£13,499","no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable",NA,"yes","not applicable","something else","marrried or couple","not applicable","£1,000 - £1,999","don't know","Yorkshire & Humberside","£100-£149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Female","C2",21363589,"Owned outright","good idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",0.805423642,"not applicable","no","not applicable","not applicable"
"489","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",55,"55 - 64","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£3,000-£3,999","don't know","£50,000-£74,999","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","not applicable",NA,"yes","not applicable","in paid employ","marrried or couple","not applicable","£50,000 - £74,999","yes","North West","£500-£599",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Female","E",21363762,"Owned outright","good idea","no change","yes","no","no","yes","no","no","no","no","no","no","<£200",0.728066779,"no","no","not applicable","<£10"
"490","no","no","no","no","no","no","no","yes","no","no","no",42,"35 - 44","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"<=199","down >£100","£17,500-£24,999","yes","yes","no","no","no","no","no","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","yes","yes","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","yes","no","not applicable","not applicable","not applicable","not applicable",NA,"marrried or couple","not applicable","None","don't know","Greater London","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Female","C2",21365316,"Local authority rented","no idea","more certain","yes","no","yes","no","yes","yes","no","yes","no","no","<£200",1.06128827,"heavy","no","not applicable","£50-£59"
"491","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",37,"35 - 44","keeping up without much difficulty","£200-299",NA,NA,NA,NA,NA,NA,"£4,000-£4,999","up >£100","£75,000-£99,999","no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","yes","no","no",NA,NA,"no","no","no","no","no","no","no","yes",NA,NA,NA,NA,NA,"no","no","easier","£150,000-£174,999","yes","base rate tracker","in paid employ","marrried or couple","£100,000-£109,999","£50,000 - £74,999","no","North West","£600-£699",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","C1",21365453,"Owned mortgage","good idea","more certain","no","no","no","no","no","no","no","no","no","no","not applicable",1.01071187,"not applicable","no","£400-£449","not applicable"
"492","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",59,"55 - 64","refused",NA,NA,NA,NA,NA,NA,NA,"don't know","don't know","£30,000-£39,999","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","don't know","not applicable","no","not applicable","in paid employ","marrried or couple","not applicable","None","no","East Midlands","£25-£49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Female","D",21366152,"Owned outright","don't know","no change","no","no","no","no","no","no","no","no","no","no","not applicable",0.849396269,"not applicable","no","not applicable","not applicable"
"493","no","no","no","no","no","no","no","yes","no","no","no",63,"55 - 64","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,"<=199","down >£100","£15,500-£17,499","no","no","no","no","no","no","no","yes","don't know","don't know","don't know","don't know","don't know","don't know","no","no","no","no","yes","no","yes","no","yes","yes","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","the same","not applicable","not applicable","not applicable","long-term sick/disab","widowed/divorced/separated","not applicable","refused","no","South East","<=25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Male","E",21368538,"Local authority rented","no idea","less certain","yes","no","no","yes","no","yes","no","no","no","no","£1,500-£1,999",0.871596976,"heavy","no","not applicable",">=£500"
"494","no","no","no","no","no","no","no","yes","no","no","no",63,"55 - 64","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,"<=199","down >£100","£13,500-£15,499","no","no","no","no","no","no","yes","no","don't know","don't know","don't know","don't know","don't know","don't know",NA,NA,NA,NA,NA,NA,"yes","no","no","no","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","yes","yes","not applicable",NA,"yes","not applicable","retired","marrried or couple","not applicable","None","don't know","South East","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Female","D",21371260,"Owned outright","no idea","less certain","yes","no","no","yes","no","no","no","yes","no","no","£7,000-£7,499",0.774804998,"heavy","no","not applicable","£260-£279"
