"","Variable Name","Description","X__1","Values","Notes"
"824",NA,NA,NA,"0.26 - 0.49%","Changed to 'currently 0.25%' in 2016"
"825",NA,NA,NA,"5.0000000000000001E-3","Added to options in 2016:"
"826",NA,NA,NA,"0.51-0.9%","0 - 0.24%"
"827",NA,NA,NA,"1 - 1.9%","2.5000000000000001E-3"
"828",NA,NA,NA,"2 - 2.9%","0.26 - 0.49%"
"829",NA,NA,NA,"3 - 3.9%",NA
"830",NA,NA,NA,"4 - 4.9%",NA
"831",NA,NA,NA,"5% or more",NA
"832",NA,NA,NA,"Don’t know",NA
"833","intexp5","The level of interest rates set by the Bank of England (Bank Rate) is currently 0.25%. At what level do you expect that interest rate to be in five year from now?",NA,"0 - 0.24%","Available from 2014"
"834",NA,NA,NA,"2.5000000000000001E-3","Before 2015 options between 0 and 0.9% were grouped into one option"
"835",NA,NA,NA,"0.26 - 0.49%","Changed to 'currently 0.25%' in 2016"
"836",NA,NA,NA,"5.0000000000000001E-3","Added to options in 2016:"
"837",NA,NA,NA,"0.51-0.9%","0 - 0.24%"
"838",NA,NA,NA,"1 - 1.9%","2.5000000000000001E-3"
"839",NA,NA,NA,"2 - 2.9%","0.26 - 0.49%"
"840",NA,NA,NA,"3 - 3.9%",NA
"841",NA,NA,NA,"4 - 4.9%",NA
"842",NA,NA,NA,"5% or more",NA
"843",NA,NA,NA,"Don’t know",NA
"844","hr_m_sp","How much would you reduce your monthly spending by in this situation? ",NA,NA,"Available from 2014 to 2015"
"845",NA,"ASK RESPONDENTS TO hr_m_a (who would change spending  in response to 2 pp interest rate rise)",NA,NA,NA
"846","hr_us_sp","How much would you reduce your monthly spending by in this situation? ",NA,NA,"Available from 2014 to 2015, and in 2017"
"847",NA,"ASK RESPONDENTS TO hr_us_a  (who would change spending  in response to 2 pp interest rate rise)",NA,NA,NA
"848","hr_sav_sp","How much would you increase your monthly spending by in this situation? ",NA,NA,"Available from 2014 to 2015"
"849",NA,"ASK RESPONDENTS TO hr_sav_a  (who would change spending  in response to 2 pp interest rate rise)",NA,NA,NA
"850","incomequestion","Please state the total annual income of the whole of your household, before anything is deducted for tax, National Insurance, pension schemes etc.",4820,"total hh income only","Available from 2015"
"851",NA,"Please state the total annual income of each adult in your household, before anything is deducted for tax, National Insurance, pension schemes etc.  For items of joint income, allocate it to whichever member of the household would pay tax on that income.",4420,"total hh income for each person","Before 2015 all households were asked for their total hh income only"
"852",NA,"Please state the annual income of the whole of your household (before anything is deducted for tax, National Insurance, pension schemes etc.) which comes from each of the following categories.",1409,"total hh income by component",NA
"853",NA,"For each member of your household please state the annual income (before anything is deducted for tax, National Insurance, pension schemes etc.) which comes from each of the following categories. For items of joint income, allocate it to whichever member of the household would pay tax on that income.",1362,"income components for each hh member",NA
"854","mgtype","What type of mortgage do you currently have on your main home?",NA,"missing","Available from 2015"
"855",NA,NA,NA,"not applicable",NA
"856",NA,NA,NA,"don't know",NA
"857",NA,NA,NA,"other",NA
"858",NA,NA,NA,"repayment mortgage",NA
"859",NA,NA,NA,"interest only with linked investment",NA
"860",NA,NA,NA,"interest only without linked investment",NA
"861","unsec_arrears","In the past 12 months have you ever found yourself more than two months behind with payments of these [unsecured] loans (known as being ‘in arrears’)? Please exclude any pre-arranged payment holidays.",NA,"Yes","Available from 2015"
"862",NA,NA,NA,"No",NA
"863",NA,NA,NA,"Don't know",NA
"864",NA,NA,NA,"Prefer not to state",NA
"865",NA,NA,NA,NA,NA
"866",NA,NA,NA,NA,NA
"867",NA,NA,NA,NA,NA
"868","btl_n","Do you currently own any buy-to-let properties?",NA,"refused","Available from 2015 to 2016"
"869",NA,NA,NA,"don't know",NA
"870",NA,NA,NA,"none",NA
"871",NA,NA,NA,"1",NA
"872",NA,NA,NA,"2",NA
"873",NA,NA,NA,"3",NA
"874",NA,NA,NA,"4",NA
"875",NA,NA,NA,"5",NA
"876",NA,NA,NA,"6 or more",NA
"877",NA,"Please indicate the extent to which you agree/disagree with the following statements regarding why you own buy-to-let properties.",NA,"Strongly agree","Available in 2015"
"878","btl_ro_a","generate regular rental income",NA,"Agree",NA
"879","btl_ro_b","expect property values to increase",NA,"Neither agree nor disagree",NA
"880","btl_ro_c","fund my retirement",NA,"Disagree",NA
"881","btl_ro_d","family circumstances",NA,"Strongly disagree",NA
"882","btl_ro_e","family members may move",NA,"Prefer not to state",NA
"883","btl_ro_f","low returns on other types of investment",NA,NA,NA
"884","btl_ro_g","other",NA,NA,NA
"885","btl_mt","Do you have an interest only mortgage on any of your buy-to-let properties?",NA,"Refused","Available in 2015"
"886",NA,NA,NA,"don't know",NA
"887",NA,NA,NA,"no mortgage",NA
"888",NA,NA,NA,"capital repayment",NA
"889",NA,NA,NA,"interest only",NA
"890",NA,NA,NA,NA,NA
"891",NA,"How do you intend to repay the outstanding balance on your interest-only mortgages(s) [on your buy-to-let properties] at completion?  Please select all that apply",NA,"Refused","Available in 2015"
"892","btl_rp_a","have sufficient assets",NA,"don't know",NA
"893","btl_rp_b","have a savings/investment strategy",NA,"no",NA
"894","btl_rp_c","expect to be able to refinance",NA,"yes",NA
"895","btl_rp_d","intend to sell the property",NA,NA,NA
"896","btl_rp_e","other",NA,NA,NA
"897","btl_kl","How long do you intend to keep your buy-to-let property for? (asked to respondents with only one buy-to-let property)",NA,"refused","Available in 2015"
"898",NA,NA,NA,"don't know",NA
"899",NA,NA,NA,"Less than 5 years",NA
"900",NA,NA,NA,"5 to 9 years",NA
"901",NA,NA,NA,"10 to 19 years",NA
"902",NA,NA,NA,"20 years or longer",NA
"903",NA,NA,NA,"no intention to sell",NA
"904","btl_sl","How long before you expect to sell one of your buy-to-let properties?  (asked to respondents with more than one buy-to-let property)",NA,"refused","Available in 2015"
"905",NA,NA,NA,"don't know",NA
"906",NA,NA,NA,"Less than 5 years",NA
"907",NA,NA,NA,"5 to 9 years",NA
"908",NA,NA,NA,"10 to 19 years",NA
"909",NA,NA,NA,"20 years or longer",NA
"910",NA,NA,NA,"no intention to sell",NA
"911","btl_int","Would you sell one (or more) of your buy-to-let properties if interest rates were to rise such that rental income were not enough to cover mortgage repayments and expenses?",NA,"refused","Available in 2015"
"912",NA,NA,NA,"don't know",NA
"913",NA,NA,NA,"Definitely",NA
"914",NA,NA,NA,"Probably",NA
"915",NA,NA,NA,"Maybe",NA
"916",NA,NA,NA,"Probably not",NA
"917",NA,NA,NA,"Definitely not",NA
"918","btl_hp","Would you sell your buy-to-let property if rental income didn’t cover costs AND property prices were also expected to fall?  (asked to those who did not indicate they would definitely sell in btl_int)",NA,"Yes – definitely, even if property prices were expected to fall by less than 10%","Available in 2015"
"919",NA,NA,NA,"Probably, but only if prices were expected to fall by 11% or more",NA
"920",NA,NA,NA,"Probably not",NA
"921",NA,NA,NA,"Definitely not",NA
"922",NA,NA,NA,"Other (please specify)",NA
"923",NA,NA,NA,"Don’t know",NA
"924",NA,NA,NA,"Prefer not to say",NA
"925","btl_price","How much would you expect to receive for all your buy-to-let properties if you were to sell them today?",NA,"£ []","Available in 2015"
"926",NA,NA,NA,"don't know",NA
"927",NA,NA,NA,"refused",NA
"928","btl_debt","Roughly how much is left to pay in total on mortgages and other loans secured against all the buy-to-let properties you own?",NA,"£ []","Available in 2015"
"929",NA,NA,NA,"don't know",NA
"930",NA,NA,NA,"refused",NA
"931","btl_rent","Roughly how much rent do you charge per month in total across all your buy-to-let properties?",NA,"£ []","Available in 2015"
"932",NA,NA,NA,"don't know",NA
"933",NA,NA,NA,"refused",NA
"934","btl_ip","How likely is it that you will purchase a buy-to-let property at one point in the future?",NA,"refused","Available in 2015"
"935",NA,"Asked if don't currently own any buy-to-let properties (btl_n=none)",NA,"don't know",NA
"936",NA,NA,NA,"Very likely",NA
"937",NA,NA,NA,"Somewhat likely",NA
"938",NA,NA,NA,"Neither likely nor unlikely",NA
"939",NA,NA,NA,"Somewhat unlikely",NA
"940",NA,NA,NA,"Very unlikely",NA
"941",NA,NA,NA,"Virtually impossible",NA
"942","btl_tr","Are you aware of the proposed reduction in mortgage finance tax relief for buy-to-let investors paying higher rate income tax announced in the Summer Budget 2015?",NA,"refused","Available in 2015"
"943",NA,"Asked if currently own any buy-to-let properties (btl_n>=1) or more likely than virtually impossible that they will purchase a buy-to-let property in the future (btl_ip>=very unlikely)",NA,"don't know",NA
"944",NA,NA,NA,"Yes",NA
"945",NA,NA,NA,"No",NA
"946","btl_itmd","Which of the following best describes the effect the reduction in mortgage finance tax relief will have on your buy-to-let investments?",NA,"refused","Available in 2015"
"947",NA,"Asked if currently own any buy-to-let properties (btl_n>=1) and aware of budget measure on tax relief (btl_tr=yes)",NA,"don't know",NA
"948",NA,NA,NA,"No effect",NA
"949",NA,NA,NA,"reduce my post-tax profit a little",NA
"950",NA,NA,NA,"reduce my post-tax profit significantly",NA
"951",NA,"Which of the following best describe how you will respond to the reduction in mortgage finance tax relief? Please select all that apply",NA,"yes","Available in 2015"
"952",NA,"Asked if expect budget tax relief measures to have a little or a significant impact on their post-tax profit (btl_itmd=reduce my post-tax profit a little or significantly)",NA,"no",NA
"953","btl_itmm_a","intend to increase rents",NA,NA,NA
"954","btl_itmm_b","more likely to sell",NA,NA,NA
"955","btl_itmm_c","less likely to invest in additional BTLs",NA,NA,NA
"956","btl_itmm_d","other",NA,NA,NA
"957","btl_itmm_e","not planning to take any action",NA,NA,NA
"958","btl_itmm_f","don't know",NA,NA,NA
"959","btl_itmm_g","prefer not to state",NA,NA,NA
"960","btl_itmf","What impact has the announcement of the reduction in mortgage finance tax relief had on your likelihood of investing in a buy-to-let property in the future?",NA,"refused","Available in 2015"
"961",NA,"Asked if more likely than virtually impossible that they will purchase a buy-to-let property in the future (btl_ip>=very unlikely) and aware of budget measure on tax relief (btl_tr=yes)",NA,"don't know",NA
"962",NA,NA,NA,"No effect",NA
"963",NA,NA,NA,"a little less likely to invest",NA
"964",NA,NA,NA,"much less likely to invest",NA
"965","hhfinpas1","How has the financial situation of your household changed over the last 12 months? It has…",NA,"Got a lot better","Avaliable from 2015"
"966",NA,NA,NA,"Got a little better",NA
"967",NA,NA,NA,"Stayed the same",NA
"968",NA,NA,NA,"Got a little worse",NA
"969",NA,NA,NA,"Got a lot worse",NA
"970",NA,NA,NA,"Don't know",NA
"971",NA,NA,NA,"Prefer not to state",NA
"972","hhfinexp1","How do you expect the financial position of your household to change over the next 12 months? It will…",NA,"Get a lot better","Avaliable from 2015"
"973",NA,NA,NA,"Get a little better",NA
"974",NA,NA,NA,"Stayed the same",NA
"975",NA,NA,NA,"Get a little worse",NA
"976",NA,NA,NA,"Get a lot worse",NA
"977",NA,NA,NA,"Don't know",NA
"978",NA,NA,NA,"Prefer not to state",NA
"979","hhspepas1","How has your household changed its spending compared with a year ago?  Please include all your spending on goods and services, but exclude money put into savings or used to repay mortgages, overdrafts, credit cards and other loans.",NA,"Increased a lot","Avaliable from 2015"
"980",NA,NA,NA,"Increased a little",NA
"981",NA,NA,NA,"About the same",NA
"982",NA,NA,NA,"Decreased a little",NA
"983",NA,NA,NA,"Decreased a lot",NA
"984",NA,NA,NA,"Don't know",NA
"985",NA,NA,NA,"Prefer not to state",NA
"986","hhspeexp1","How do you expect your household to change its spending over the next 12 months?  Please exclude money put into savings and repayment of bank loans.",NA,"Increase a lot","Avaliable from 2015"
"987",NA,NA,NA,"Increase a little",NA
"988",NA,NA,NA,"About the same",NA
"989",NA,NA,NA,"Decrease a little",NA
"990",NA,NA,NA,"Decrease a lot",NA
"991",NA,NA,NA,"Don't know",NA
"992",NA,NA,NA,"Prefer not to state",NA
"993","mjpurexp1","Compared to the last 12 months, do you expect to spend more or less money on major purchases (such as car, furniture and electrical goods) over the next year?  I will spend…",NA,"Much more","Avaliable from 2015"
"994",NA,NA,NA,"A little more",NA
"995",NA,NA,NA,"About the same",NA
"996",NA,NA,NA,"A little less",NA
"997",NA,NA,NA,"Much less",NA
"998",NA,NA,NA,"Don't know",NA
"999","pripas1","Which of these options best describes how prices have changed over the past 12 months?",NA,"Gone down","Avaliable from 2015"
"1000",NA,NA,NA,"Not changed",NA
"1001",NA,NA,NA,"Up by 1% or less",NA
"1002",NA,NA,NA,"Gone up by 1% but less than 2%",NA
"1003",NA,NA,NA,"Gone up by 2% but less than 3%",NA
"1004",NA,NA,NA,"Gone up by 3% but less than 4%",NA
"1005",NA,NA,NA,"Gone up by 4% but less than 5%",NA
"1006",NA,NA,NA,"Gone up by 5% or more",NA
"1007",NA,NA,NA,"Don't know",NA
"1008","priexp1","And how much would you expect prices in the shops generally to change over the next twelve months?",NA,"Go down","Avaliable from 2015"
"1009",NA,NA,NA,"Not changed",NA
"1010",NA,NA,NA,"Go up by 1% or less",NA
"1011",NA,NA,NA,"Go up by 1% but less than 2%",NA
"1012",NA,NA,NA,"Go up by 2% but less than 3%",NA
"1013",NA,NA,NA,"Go up by 3% but less than 4%",NA
"1014",NA,NA,NA,"Go up by 4% but less than 5%",NA
"1015",NA,NA,NA,"Go up by 5% or more",NA
"1016",NA,NA,NA,"Don't know",NA
"1017","priexp2","And the 12 months after that? (follows on from priexp1 question)",NA,"Go down","Avaliable from 2015"
"1018",NA,NA,NA,"Not changed",NA
"1019",NA,NA,NA,"Go up by 1% or less",NA
"1020",NA,NA,NA,"Go up by 1% but less than 2%",NA
"1021",NA,NA,NA,"Go up by 2% but less than 3%",NA
"1022",NA,NA,NA,"Go up by 3% but less than 4%",NA
"1023",NA,NA,NA,"Go up by 4% but less than 5%",NA
"1024",NA,NA,NA,"Go up by 5% or more",NA
"1025",NA,NA,NA,"Don't know",NA
"1026","priexp5","And how about the longer term, say in five years time?  How much would you expect prices in the shops generally to change over a year then? (follows on from priexp1 & priexp2 questions)",NA,"Go down","Avaliable from 2015"
"1027",NA,NA,NA,"Not changed",NA
"1028",NA,NA,NA,"Go up by 1% or less",NA
"1029",NA,NA,NA,"Go up by 1% but less than 2%",NA
"1030",NA,NA,NA,"Go up by 2% but less than 3%",NA
"1031",NA,NA,NA,"Go up by 3% but less than 4%",NA
"1032",NA,NA,NA,"Go up by 4% but less than 5%",NA
"1033",NA,NA,NA,"Go up by 5% or more",NA
"1034",NA,NA,NA,"Don't know",NA
"1035","unempeconexp1","How do you expect the number of unemployed people in this country will change over the next 12 months?",NA,"Increase sharply","Avaliable from 2015"
"1036",NA,NA,NA,"Increase slightly",NA
"1037",NA,NA,NA,"Remain the same",NA
"1038",NA,NA,NA,"Fall slightly",NA
"1039",NA,NA,NA,"Fall sharply",NA
"1040",NA,NA,NA,"Don't know",NA
"1041","geneconpas1","How do you think the general economic situation in this country has changed over the past 12 months?",NA,"Got a lot better","Avaliable from 2015"
"1042",NA,NA,NA,"Got a little better",NA
"1043",NA,NA,NA,"Stayed the same",NA
"1044",NA,NA,NA,"Got a little worse",NA
"1045",NA,NA,NA,"Got a lot worse",NA
"1046",NA,NA,NA,"Don't know",NA
"1047","geneconexp1","How do you expect the general economic situation in this country to develop over the next 12 months?",NA,"Get a lot better","Avaliable from 2015"
"1048",NA,NA,NA,"Get a little better",NA
"1049",NA,NA,NA,"Stayed the same",NA
"1050",NA,NA,NA,"Get a little worse",NA
"1051",NA,NA,NA,"Get a lot worse",NA
"1052",NA,NA,NA,"Don't know",NA
"1053","earnexp_d","Suppose that you continue working in the exact same job at the same place you currently work, and working the exact same number of hours as you do now.  Over the next 12 months, how would you expect your earnings on this job, before taxes and deductions to change?",NA,"Increase","Available from 2015"
"1054",NA,"Asked if in paid employment (question: jbstat)",NA,"Stay the same",NA
"1055",NA,NA,NA,"Decrease",NA
"1056",NA,NA,NA,"Don’t know",NA
"1057",NA,NA,NA,"Prefer not to state",NA
"1058","earnexp","Suppose that you continue working in the exact same job at the same place you currently work, and working the exact same number of hours as you do now.  By how much do you expect your earnings on this job, before taxes and deductions to change over the next twelve months? Please enter a percentage change.
",NA,"[]%","Available from 2015 to 2016"
"1059",NA,"Asked if in paid employment (question: jbstat)",NA,NA,NA
"1060","discspend_1","Do you regularly spend money on any of the following items?  Please select all that apply",NA,"TV or film subcriptions","Available in 2015"
"1061","discspend_2",NA,NA,"Mobile phone contract",NA
"1062","discspend_3",NA,NA,"Gym membership",NA
"1063","discspend_4",NA,NA,"Holidays abroad",NA
"1064","discspend_5",NA,NA,"Eating out",NA
"1065","discspend_6",NA,NA,"Designer clothing",NA
"1066","discspend_7",NA,NA,"None of these",NA
"1067","discspend_8",NA,NA,"Prefer not to state",NA
"1068","considmov_1","Have you considered moving to another property since the beginning of 2015? Please select all answers that apply.",NA,"No – I'm happy where I am","Available in 2015"
"1069","considmov_2",NA,NA,"Yes – I'm in the process of moving",NA
"1070","considmov_3","ASK ALL RESPONDENTS WHO ANSWER 1  OR 2 TO TENURE QUESTION AND BE03=YES",NA,"Yes – but the costs of moving (stamp duty, estate agent and solicitor fees) are too high",NA
"1071","considmov_4",NA,NA,"Yes – but my current mortgage deal is too good to change",NA
"1072","considmov_5",NA,NA,"Yes – but I would not be able to increase my mortgage sufficiently to make it worthwhile to move",NA
"1073","considmov_6",NA,NA,"Yes – but I haven't been able to find a suitable property",NA
"1074","considmov_7",NA,NA,"Yes – but my house is worth less than when I bought it",NA
"1075","considmov_8",NA,NA,"Yes – but I can't find anyone to buy my house",NA
"1076","considmov_9",NA,NA,"Other (please specify)",NA
"1077","considmov_10",NA,NA,"Don't know",NA
"1078","considmov_11",NA,NA,"Prefer not to state",NA
"1079","expectmove","When do you next expect to move house?",NA,"Within the next 12 months","Available from 2015"
"1080",NA,"IF ANSWERED 1  OR 2 TO TENURE QUESTION AND BE03=YES",NA,"1-2 years from now",NA
"1081",NA,NA,NA,"3-4 years from now",NA
"1082",NA,NA,NA,"In 5 years or more",NA
"1083",NA,NA,NA,"Not expecting to move house again",NA
"1084",NA,NA,NA,"Don't know",NA
"1085",NA,NA,NA,"Prefer not to state",NA
"1086","ihtmove","The government recently announced changes to the Inheritance Tax regime. Has this changed the likelihood of you moving house?",NA,"Yes - I'm now more likely to move","Available in 2015"
"1087",NA,"IF ANSWERED 1  OR 2 TO TENURE QUESTION AND BE03=YES",NA,"Yes - I'm now less likely to move",NA
"1088",NA,NA,NA,"No - this hasn't affected me",NA
"1089",NA,NA,NA,"Don't know",NA
"1090",NA,NA,NA,"Prefer not to state",NA
"1091","buyfuture","Do you think you will eventually buy a property to live in, in the UK?",NA,"Yes","Available from 2015"
"1092",NA,"ASK IF DON'T OWN PROPERTY (Code 3-7 in housing tenure question)",NA,"No",NA
"1093",NA,NA,NA,"Don't know",NA
"1094",NA,NA,NA,"Prefer not to state",NA
"1095","expectbuy","When do you expect to buy a property to live in?",NA,"Within the next 12 months","Available from 2015"
"1096",NA,"ASK IF ANSWER YES TO buyfuture",NA,"1-2 years from now",NA
"1097",NA,NA,NA,"3-4 years from now",NA
"1098",NA,NA,NA,"In 5 years or more",NA
"1099",NA,NA,NA,"Don't know",NA
"1100",NA,NA,NA,"Prefer not to state",NA
"1101","notbuyreas_1","What are the main reasons why you don't think you will eventually buy your own home? You may select up to three responses",NA,"It is unlikely I will ever be able to afford the purchase costs (e.g. deposit, stamp duty, estate agent fees etc.)","Available from 2015"
"1102","notbuyreas_2",NA,NA,"It is unlikely I will ever be able to afford the monthly mortgage repayments",NA
"1103","notbuyreas_3","ASK IF ANSWER NO TO buyfuture",NA,"It is unlikely I would be able to get a mortgage (e.g. because of my credit record or because of my employment status)",NA
"1104","notbuyreas_4",NA,NA,"I do not have a secure enough job",NA
"1105","notbuyreas_5",NA,NA,"I would not want to be in debt",NA
"1106","notbuyreas_6",NA,NA,"Repairs and maintenance would be too costly",NA
"1107","notbuyreas_7",NA,NA,"I wouldn't want that sort of commitment",NA
"1108","notbuyreas_8",NA,NA,"I prefer the flexibility of renting",NA
"1109","notbuyreas_9",NA,NA,"I like it where I am",NA
"1110","notbuyreas_10",NA,NA,"Other (please specify)",NA
"1111","notbuyreas_11",NA,NA,"Don't know",NA
"1112","notbuyreas_12",NA,NA,"Prefer not to state",NA
"1113","fisc_effect","Since 2010, the government has announced a succession of measure in order to cut the country's budget deficit. How have these measures affected your household over the past 6 years?",NA,"Positively","Available in 2015"
"1114",NA,NA,NA,"Negatively",NA
"1115",NA,NA,NA,"No impact",NA
"1116",NA,NA,NA,"Don't know",NA
"1117",NA,NA,NA,"Prefer not to state",NA
"1118","mort_term_m","When you last took out a mortgage or secured loan on your main home, or made a change to the amount borrowed on an existing mortgage or secured loan on this property how long was the mortgage or secured loan for? (This is the number of years over which you will repay the mortgage - also known as the term).",NA,NA,"Available from 2016"
"1119",NA,NA,NA,NA,NA
"1120",NA,"Even if you are making overpayments to reduce the term of your mortgage, please state the original term you signed up for.",NA,NA,NA
"1121",NA,"Mortgage rates on new loans have fallen recently.  If your monthly mortgage payments were to fall by £y [which is calculated automatically from software as the payment under a 1pp lower rate] for a sustained period from tomorrow, how do you think you would respond?",NA,NA,"Available in 2016"
"1122","lr_m_a",NA,NA,"a)      Increase spending",NA
"1123","lr_m_b",NA,NA,"b)      Increase the amount put aside as saving each month",NA
"1124","lr_m_c",NA,NA,"c)      Leave paid employment myself",NA
"1125","lr_m_d",NA,NA,"d)      Someone else in my household would leave paid employment",NA
"1126","lr_m_e",NA,NA,"e)      Work shorter hours / leave a second job",NA
"1127","lr_m_f",NA,NA,"f)       Give financial help to family / relatives",NA
"1128","lr_m_g",NA,NA,"g)      Move to a more expensive property",NA
"1129","lr_m_h",NA,NA,"h)      Pay off debt (including overpaying on your mortgage by continuing to pay the same amount as you pay now)",NA
"1130","lr_m_i",NA,NA,"i)       Other (please specify)",NA
"1131","lr_m_j",NA,NA,"j)       Don’t know",NA
"1132","lr_m_k",NA,NA,"k)      Prefer not to state",NA
"1133","lr_m_sp","How much would you increase your monthly spending by if your monthly mortgage payments were to fall for a sustained period by £y [which is calculated automatically from software as the payment under 1pp lower rate]?",NA,NA,"Available in 2016"
"1134",NA,"Which of the following reasons help explain why your household has fallen behind in the mortgage payments? You can give as many reasons as you like.",NA,NA,"Available from 2016"
"1135","mgarr_why_a",NA,NA,"a)      A spouse or partner left home",NA
"1136","mgarr_why_b",NA,NA,"b)      A spouse or partner died",NA
"1137","mgarr_why_c",NA,NA,"c)      Someone else who had been contributing left home",NA
"1138","mgarr_why_d",NA,NA,"d)      Someone who had been contributing became pregnant/new born baby",NA
"1139","mgarr_why_e",NA,NA,"e)      Someone who had been earning, lost pay because they were sick or injured",NA
"1140","mgarr_why_f",NA,NA,"f)       Self-employed and income has gone down",NA
"1141","mgarr_why_g",NA,NA,"g)      Someone was made redundant/is unemployed",NA
"1142","mgarr_why_h",NA,NA,"h)      Someone lost overtime or worked reduced hours",NA
"1143","mgarr_why_i",NA,NA,"i)       Someone worked same hours but for less pay",NA
"1144","mgarr_why_j",NA,NA,"j)       There was an increase in the mortgage payments",NA
"1145","mgarr_why_k",NA,NA,"k)      There was an increase in other bills or unexpected expenses/costs",NA
"1146","mgarr_why_l",NA,NA,"l)       Other  (please specify)",NA
"1147",NA,"Which of the following reasons help explain why your household has fallen behind in the loan payments? You can give as many reasons as you like.",NA,NA,"Available from 2016"
"1148","us_arr_why_a",NA,NA,"a)      A spouse or partner left home",NA
"1149","us_arr_why_b",NA,NA,"b)      A spouse or partner died",NA
"1150","us_arr_why_c",NA,NA,"c)      Someone else who had been contributing left home",NA
"1151","us_arr_why_d",NA,NA,"d)      Someone who had been contributing became pregnant/new born baby",NA
"1152","us_arr_why_e",NA,NA,"e)      Someone who had been earning, lost pay because they were sick or injured",NA
"1153","us_arr_why_f",NA,NA,"f)       Self-employed and income has gone down",NA
"1154","us_arr_why_g",NA,NA,"g)      Someone was made redundant/is unemployed",NA
"1155","us_arr_why_h",NA,NA,"h)      Someone lost overtime or worked reduced hours",NA
"1156","us_arr_why_i",NA,NA,"i)       Someone worked same hours but for less pay",NA
"1157","us_arr_why_j",NA,NA,"j)       There was an increase in the loan payments",NA
"1158","us_arr_why_k",NA,NA,"k)      There was an increase in other bills or unexpected expenses/costs",NA
"1159","us_arr_why_l",NA,NA,"l)       Other  (please specify)",NA
"1160","us_carfin_type","You indicated that you or someone in your household currently owes money on a finance agreement arranged by a car dealer.",NA,"a)      Hire purchase (HP) agreement","Available in 2016"
"1161",NA,"Do you know what type of car finance arrangement you currently have?",NA,"b)      Personal contract purchase (PCP) agreement",NA
"1162",NA,NA,NA,"c)      Personal contract hire (PCH), leasing or rental agreement",NA
"1163",NA,NA,NA,"d)      Personal loan",NA
"1164",NA,NA,NA,"e)      Other (please specify)",NA
"1165","us_carfin_when","When did you or someone in your household take out the car finance agreement?",NA,"a)      Less than 6 months ago","Available from 2016"
"1166",NA,"(Again please respond based on the car finance arrangement you owe the most money on)",NA,"b)      7 – 12 months ago",NA
"1167",NA,NA,NA,"c)      13 – 18 months ago",NA
"1168",NA,NA,NA,"d)      19 – 24 months ago",NA
"1169",NA,NA,NA,"e)      25 – 36 months ago",NA
"1170",NA,NA,NA,"f)       37 – 60 months ago",NA
"1171",NA,NA,NA,"g)      More than 5 years ago",NA
"1172",NA,"Please indicate why you chose to take out a finance arrangement from a dealer rather than to fund your car purchase using another type of finance (e.g. using personal savings, unsecured personal loan from a bank or remortgage)?",NA,NA,"Available in 2016"
"1173","us_carfin_why_a",NA,NA,"a)      I didn’t really consider other types of finance",NA
"1174","us_carfin_why_b","Please select all that apply.",NA,"b)      The car dealer made the arrangement seem very attractive at the time",NA
"1175","us_carfin_why_c",NA,NA,"c)      I wasn’t sure that I would be able to obtain sufficient finance from elsewhere (e.g. by increasing the size of the mortgage on my home or getting a personal loan)",NA
"1176","us_carfin_why_d",NA,NA,"d)      The interest rate on the car finance deal was low",NA
"1177","us_carfin_why_e",NA,NA,"e)      The up-front deposit with the car finance deal was low",NA
"1178","us_carfin_why_f",NA,NA,"f)       The monthly payments with the car finance deal were low",NA
"1179","us_carfin_why_g",NA,NA,"g)      I value the convenience and flexibility offered by the car finance deal",NA
"1180","us_carfin_why_h",NA,NA,"h)      Other (please specify)",NA
"1181","us_carfin_exp","Do you think you bought a more expensive vehicle than you might otherwise have chosen as a result of the finance arrangement offered to you by the dealer?",NA,"a)      Yes – I chose a vehicle that was considerably more expensive","Available in 2016"
"1182",NA,NA,NA,"b)      Yes – I chose a vehicle that was slightly more expensive (e.g. with extra features)",NA
"1183",NA,NA,NA,"c)      No – the finance arrangement had little or no impact on my vehicle choice",NA
"1184",NA,NA,NA,"d)      No – I chose a cheaper vehicle as a result of the finance arrangement",NA
"1185",NA,NA,NA,"e)      Other (please specify)",NA
"1186","us_upl_when","You indicated that you or someone in your household currently owes money on an unsecured personal loan.",NA,"a)      Less than 6 months ago","Available from 2016"
"1187",NA,NA,NA,"b)      7 – 12 months ago",NA
"1188",NA,"When was this loan taken out?",NA,"c)      13 – 18 months ago",NA
"1189",NA,NA,NA,"d)      19 – 24 months ago",NA
"1190",NA,"If members of your household currently have more than one unsecured personal loan outstanding, please respond based on the loan with the largest outstanding balance.",NA,"e)      25 – 36 months ago",NA
"1191",NA,NA,NA,"f)       37 – 60 months ago",NA
"1192",NA,NA,NA,"g)      More than 5 years ago",NA
"1193",NA,NA,NA,"h)      Don’t know",NA
"1194",NA,NA,NA,"i)       Prefer not to say",NA
"1195",NA,"Please indicate the reasons why you or a member of your household chose to take out a personal loan?",NA,NA,"Available from 2016"
"1196","us_upl_purp_a",NA,NA,"a)      Debt consolidation",NA
"1197","us_upl_purp_b","Please select all that apply.",NA,"b)      To purchase a vehicle",NA
"1198","us_upl_purp_c",NA,NA,"c)      To pay for home improvements or large household goods",NA
"1199","us_upl_purp_d",NA,NA,"d)      To help pay for a holiday or important life event (e.g. wedding or funeral)",NA
"1200","us_upl_purp_e",NA,NA,"e)      To help finance a business or commercial activity",NA
